	tokenized	POS	lex
AR-130-97035	['إن', 'وسائل', 'التواصل', 'الاجتاعمي', 'يلعب', 'دورا', 'مهما', 'في', 'حياة', 'نا', 'الاجتماعية', 'في', 'قرن', 'نا', 'هذا', 'ف', 'كل', 'شئ', 'يحدث', 'عبر', 'الNOAN', 'و', 'مواقع', 'التواصل', 'الاجتاعمي', '.']	['abbrev', 'noun', 'noun', 'noun_prop', 'verb', 'noun', 'adj', 'prep', 'noun', 'noun_prop', 'adj', 'prep', 'noun', 'noun_prop', 'pron_dem', 'abbrev', 'noun', 'noun', 'verb', 'noun', 'noun', 'conj', 'noun', 'noun', 'noun_prop', 'punc']	['إِن', 'وَسِيلَة', 'تَواصُل', 'الاجتاعمي', 'لَعِب', 'دَوْر', 'مُهِمّ', 'فِي', 'حَياة', 'نا', 'ٱِجْتِماعِيّ', 'فِي', 'قَرْن', 'نا', 'هٰذا', 'فَ', 'كُلّ', 'شَيْء', 'حَدَث', 'عَبْر', 'الNOAN', 'وَ', 'مَوْقِع', 'تَواصُل', 'الاجتاعمي', '.']
AR-130-97035	['ل', 'هذه', 'المواقع', 'آثار', 'إيجابية', 'و', 'آثار', 'سلبية', 'على', 'المجتمع', '،و', 'ترتكز', 'آثار', 'ه', 'السلبية', 'على', 'الأطفال', 'بالاكثريه', '.']	['prep', 'pron_dem', 'noun', 'noun', 'adj', 'conj', 'noun', 'adj', 'prep', 'noun', 'noun_prop', 'verb', 'noun', 'abbrev', 'adj', 'prep', 'noun', 'noun', 'punc']	['لِ', 'هٰذا', 'مَوْقِع', 'أَثَر', 'إِيجابِيّ', 'وَ', 'أَثَر', 'سَلْبِيّ', 'عَلَى', 'مُجْتَمَع', '،و', 'ٱِرْتَكَز', 'أَثَر', 'ه', 'سَلْبِيّ', 'عَلَى', 'طِفْل', 'أَكْثَرِيَّة', '.']
AR-130-97035	['الآثار', 'الإيجابية', 'في', 'موقع', 'التواصل', 'الاجتماعي', 'أن', 'ه', 'يسهل', 'عملية', 'التواصل', 'مع', 'الأقارب', 'و', 'الأصحاب', 'ف', 'في', 'الماضي', 'كان', 'الآباء', 'يخرجون', 'من', 'منازل', 'هم', 'ل', 'الذهاب', 'إلى', 'منزل', 'جار', 'هم', 'أو', 'صاحب', 'هم', 'ل', 'نقل', 'الأخبار', 'ب', 'سبب', 'عدم', 'وجود', 'هواتف', 'أو', 'وسائل', 'ل', 'التواصل', '،']	['noun', 'adj', 'prep', 'noun', 'noun', 'adj', 'conj_sub', 'abbrev', 'verb', 'noun', 'noun', 'prep', 'noun', 'conj', 'noun', 'abbrev', 'prep', 'adj', 'verb', 'noun', 'verb', 'prep', 'noun', 'pron', 'prep', 'noun', 'prep', 'noun', 'noun', 'pron', 'conj', 'noun', 'pron', 'prep', 'noun', 'noun', 'abbrev', 'noun', 'noun', 'noun', 'noun', 'conj', 'noun', 'prep', 'noun', 'punc']	['أَثَر', 'إِيجابِيّ', 'فِي', 'مَوْقِع', 'تَواصُل', 'ٱِجْتِماعِيّ', 'أَنَّ', 'ه', 'سَهَّل', 'عَمَلِيَّة', 'تَواصُل', 'مَع', 'أَقْرَب', 'وَ', 'صاحِب', 'فَ', 'فِي', 'ماضِي', 'كان', 'آباء', 'خَرَج', 'مِن', 'مَنْزِل', 'هُم', 'لِ', 'ذَهاب', 'إِلَى', 'مَنْزِل', 'جار', 'هُم', 'أَو', 'صاحِب', 'هُم', 'لِ', 'نَقْل', 'خَبَر', 'بِ', 'سَبَب', 'عَدَم', 'وُجُود', 'هاتِف', 'أَو', 'وَسِيلَة', 'لِ', 'تَواصُل', '،']
AR-130-97035	['حاليا', 'ف', 'إن', 'التواصل', 'من', 'الآخرين', 'سهل', 'جدا', 'ل', 'توفر', 'المواقع', 'و', 'البرامج', 'ل', 'التواصل', 'و', 'أيضا', 'إن', 'البحث', 'عن', 'المعلومات', 'أصبح', 'أسهل', 'ب', 'كثير', 'ل', 'ذلك', 'ف', 'إن', 'وجود', 'هذه', 'الوسائل', 'ل', 'التواصل', 'الاجتماعي', 'مهم', '.']	['adj', 'abbrev', 'abbrev', 'noun', 'prep', 'adj', 'noun', 'noun', 'prep', 'verb', 'noun', 'conj', 'noun', 'prep', 'noun', 'conj', 'noun', 'abbrev', 'noun', 'prep', 'noun', 'verb', 'noun', 'abbrev', 'noun', 'prep', 'pron_dem', 'abbrev', 'abbrev', 'noun', 'pron_dem', 'noun', 'prep', 'noun', 'adj', 'adj', 'punc']	['حالِيّ', 'فَ', 'إِن', 'تَواصُل', 'مِن', 'آخَر', 'سَهْل', 'جِدّ', 'لِ', 'وَفَّر', 'مَوْقِع', 'وَ', 'بَرْنامَج', 'لِ', 'تَواصُل', 'وَ', 'أَيْض', 'إِن', 'بَحْث', 'عَن', 'مَعْلُومَة', 'أَصْبَح', 'أَسْهَل', 'بِ', 'كَثِير', 'لِ', 'ذٰلِكَ', 'فَ', 'إِن', 'وُجُود', 'هٰذا', 'وَسِيلَة', 'لِ', 'تَواصُل', 'ٱِجْتِماعِيّ', 'مُهِمّ', '.']
AR-130-97035	['ل', 'وسائل', 'التواصل', 'الاجتماعي', 'أيضا', 'تأثيرا', 'سلبيا', 'على', 'المجتمع', 'من', 'هم', 'الكبار', 'و', 'الصغار', 'ف', 'إن', 'ه', 'يحجب', 'من', 'تواصل', 'الاشخاصفي', 'n', 'مأن', 'n', 'غير', 'الهواتف', 'n', 'ف', 'رؤية', 'الأصحاب', 'أصبحت', 'قليلة', 'ل', 'وجود', 'المواقع', 'و', 'الإنترنت', '،']	['prep', 'noun', 'noun', 'adj', 'noun', 'noun', 'adj', 'prep', 'noun', 'prep', 'pron', 'noun', 'conj', 'noun', 'abbrev', 'abbrev', 'abbrev', 'verb', 'prep', 'verb', 'noun_prop', 'noun', 'noun', 'noun', 'noun', 'noun', 'noun', 'abbrev', 'noun', 'noun', 'verb', 'adj', 'prep', 'noun', 'noun', 'conj', 'noun_prop', 'punc']	['لِ', 'وَسِيلَة', 'تَواصُل', 'ٱِجْتِماعِيّ', 'أَيْض', 'تَأْثِير', 'سَلْبِيّ', 'عَلَى', 'مُجْتَمَع', 'مِن', 'هُم', 'كَبِير', 'وَ', 'صَغِير', 'فَ', 'إِن', 'ه', 'حَجَب', 'مِن', 'واصَل', 'الاشخاصفي', 'n', 'مَأْن', 'n', 'غَيْر', 'هاتِف', 'n', 'فَ', 'رُؤْيَة', 'صاحِب', 'أَصْبَح', 'قَلِيل', 'لِ', 'وُجُود', 'مَوْقِع', 'وَ', 'إِنْتِرْنِت', '،']
AR-130-97035	['و', 'ل', 'الأطفال', 'ف', 'إن', 'مواقع', 'التواصل', 'ل', 'ه', 'أثر', 'سلبيا', 'على', 'هم', 'و', 'ل', 'ه', 'مخاطر', 'على', 'الأطفال', 'ف', 'ب', 'إمكان', 'هم', 'التواصل', 'مع', 'أشخاص', 'لا', 'يعرفون', 'هم', 'و', 'يمكن', 'أن', 'يسسبوا', 'خطورة', 'كبيرة', 'على', 'هم', 'و', 'سهولة', 'احتيال', 'هم', 'و', 'النصب', 'على', 'هم', 'إذا', 'لم', 'يتواجب', 'شخص', 'بالغ', 'و', 'عاقل', 'مع', 'هم', 'و', 'مواقع', 'التواصل', 'الاجتماعي', 'يمكن', 'أن', 'يتشر', 'في', 'ها', 'أخبار', 'ك', 'أذبة', 'و', 'من', 'ها', 'حقيقية', 'ل', 'ذلك', 'يجب', 'الحذر', 'من', 'ب', 'عض', 'مواقع', 'التواصل', 'الاجتماعي', 'و', 'مراقبة', 'الاطفال', '.']	['conj', 'prep', 'noun', 'abbrev', 'abbrev', 'noun', 'noun', 'prep', 'abbrev', 'verb', 'adj', 'prep', 'pron', 'conj', 'prep', 'abbrev', 'noun', 'prep', 'noun', 'abbrev', 'abbrev', 'noun', 'pron', 'noun', 'prep', 'noun', 'part_neg', 'verb', 'pron', 'conj', 'verb', 'conj_sub', 'noun_prop', 'noun', 'adj', 'prep', 'pron', 'conj', 'noun', 'noun', 'pron', 'conj', 'noun', 'prep', 'pron', 'conj', 'part_neg', 'noun_prop', 'noun', 'adj', 'conj', 'adj', 'prep', 'pron', 'conj', 'noun', 'noun', 'adj', 'verb', 'conj_sub', 'noun_prop', 'prep', 'pron_dem', 'noun', 'abbrev', 'noun', 'conj', 'prep', 'pron_dem', 'adj', 'prep', 'pron_dem', 'verb', 'noun', 'prep', 'abbrev', 'verb', 'noun', 'noun', 'adj', 'conj', 'noun', 'noun', 'punc']	['وَ', 'لِ', 'طِفْل', 'فَ', 'إِن', 'مَوْقِع', 'تَواصُل', 'لِ', 'ه', 'أَثَّر', 'سَلْبِيّ', 'عَلَى', 'هُم', 'وَ', 'لِ', 'ه', 'مَخاطِر', 'عَلَى', 'طِفْل', 'فَ', 'بِ', 'إِمْكان', 'هُم', 'تَواصُل', 'مَع', 'شَخْص', 'لا', 'عَرَف', 'هُم', 'وَ', 'أَمْكَن', 'أَنَّ', 'يسسبوا', 'خُطُورَة', 'كَبِير', 'عَلَى', 'هُم', 'وَ', 'سُهُولَة', 'ٱِحْتِيال', 'هُم', 'وَ', 'نُصْب', 'عَلَى', 'هُم', 'إِذا', 'لَم', 'يتواجب', 'شَخْص', 'بالِغ', 'وَ', 'عاقِل', 'مَع', 'هُم', 'وَ', 'مَوْقِع', 'تَواصُل', 'ٱِجْتِماعِيّ', 'أَمْكَن', 'أَنَّ', 'يتشر', 'فِي', 'ها', 'خَبَر', 'كَ', 'ذُباب', 'وَ', 'مِن', 'ها', 'حَقِيقِيّ', 'لِ', 'ذٰلِكَ', 'وَجَب', 'حِذْر', 'مِن', 'بِ', 'عَضّ', 'مَوْقِع', 'تَواصُل', 'ٱِجْتِماعِيّ', 'وَ', 'مُراقَبَة', 'طِفْل', '.']
AR-130-97035	['تتطور', 'وسائل', 'التواصل', 'الاجتماعي', 'بين', 'الحين', 'و', 'الآخر', 'و', 'تظهر', 'من', 'ه', 'إيجابيات', 'جديدة', 'و', 'سلبيات', 'جديدة', 'و', 'على', 'المجتمع', 'الحذر', 'دائما', 'من', 'الوقوع', 'في', 'الفخ', 'ل', 'أن', 'ليس', 'كل', 'شئ', 'يقال', 'يصدق', '.']	['verb', 'noun', 'noun', 'adj', 'noun', 'noun', 'conj', 'adj', 'conj', 'verb', 'prep', 'abbrev', 'noun', 'adj', 'conj', 'noun', 'adj', 'conj', 'prep', 'noun', 'noun', 'adj', 'prep', 'noun', 'prep', 'noun', 'prep', 'conj_sub', 'verb', 'noun', 'noun', 'verb', 'verb', 'punc']	['تَطَوَّر', 'وَسِيلَة', 'تَواصُل', 'ٱِجْتِماعِيّ', 'بَيِّن', 'حِين', 'وَ', 'آخَر', 'وَ', 'أَظْهَر', 'مِن', 'ه', 'إِيجابِيّات', 'جَدِيد', 'وَ', 'سَلْبِيَّة', 'جَدِيد', 'وَ', 'عَلَى', 'مُجْتَمَع', 'حِذْر', 'دائِم', 'مِن', 'وُقُوع', 'فِي', 'فَخّ', 'لِ', 'أَنَّ', 'لَيِس', 'كُلّ', 'شَيْء', 'قال', 'صَدَّق', '.']
AR-130-190745	['التسامح', 'شي', 'مهم', 'في', 'الحياة', 'من', 'ه', 'نتعلم', 'كيف', 'أن', 'نصبح', 'أكثر', 'تعطفن', '،ويجب', 'أن', 'نعزز', 'ثقافة', 'التسامح', 'في', 'المجتمع', 'في', 'المساجد', 'و', 'المدارس', 'و', 'المحضرات', 'و', 'الحرص', 'على', 'قرآ', 'القرآن', 'ل', 'كي', 'أن', 'ه', 'يساعد', 'على', 'ب', 'نا', 'ثقافة', 'و', 'محبة', 'أكثر', 'تعطفن', 'و', 'يقلل', 'من', 'المشاكل', 'و', 'نشر', 'المحبة', 'و', 'المودة', 'في', 'المجتمع', 'ل', 'ذلك', 'التسامح', 'مهم', 'في', 'حياة', 'البشر', 'أن', 'ه', 'ينمي', 'و', 'يثقف', 'الإنسان', 'و', 'يجعل', 'ه', 'أكثر', 'قوة', 'ومحبوبن', 'و', 'نشارة', 'يساعد', 'على', 'n', 'كثرهالوعي', 'والمسامح', 'هو', 'الشخص', 'الكريم', 'و', 'أن', 'تتعلم', 'الكرم', 'هاذه', 'يكون', 'شي', 'جميل', 'في', 'الحياة', 'ل', 'كي', 'تقدر', 'أن', 'تعيش', 'في', 'حياة', 'مميزة', 'و', 'يجب', 'أن', 'تسامح', 'و', 'تعلم', 'أطفال', 'ك', 'المسامحة', 'والمحبهخ']	['noun', 'noun', 'adj', 'prep', 'noun', 'prep', 'abbrev', 'verb', 'adv_rel', 'conj_sub', 'verb', 'adj', 'verb', 'noun_prop', 'conj_sub', 'verb', 'noun', 'noun', 'prep', 'noun', 'prep', 'noun', 'conj', 'noun', 'conj', 'adj', 'conj', 'noun', 'prep', 'verb', 'noun_prop', 'prep', 'conj', 'conj_sub', 'abbrev', 'verb', 'prep', 'abbrev', 'noun_prop', 'noun', 'conj', 'noun', 'adj', 'verb', 'conj', 'verb', 'prep', 'noun', 'conj', 'noun', 'noun', 'conj', 'noun', 'prep', 'noun', 'prep', 'pron_dem', 'noun', 'adj', 'prep', 'noun', 'noun', 'conj_sub', 'abbrev', 'verb', 'conj', 'verb', 'noun', 'conj', 'verb', 'abbrev', 'adj', 'noun', 'noun_prop', 'conj', 'noun', 'verb', 'prep', 'noun', 'noun_prop', 'noun_prop', 'pron', 'noun', 'noun_prop', 'conj', 'conj_sub', 'verb', 'noun_prop', 'noun_prop', 'verb', 'noun', 'noun_prop', 'prep', 'noun', 'prep', 'conj', 'verb', 'conj_sub', 'verb', 'prep', 'noun', 'adj', 'conj', 'verb', 'conj_sub', 'noun', 'conj', 'verb', 'noun', 'abbrev', 'noun', 'noun_prop']	['تَسامُح', 'شَيّ', 'مُهِمّ', 'فِي', 'حَياة', 'مِن', 'ه', 'تَعَلَّم', 'كَيْفَ', 'أَنَّ', 'أَصْبَح', 'أَكْثَر', 'عَطَف', '،ويجب', 'أَنَّ', 'عَزَّز', 'ثَقافَة', 'تَسامُح', 'فِي', 'مُجْتَمَع', 'فِي', 'مَسْجِد', 'وَ', 'مَدْرَسَة', 'وَ', 'مُحَضَّر', 'وَ', 'حِرْص', 'عَلَى', 'قَرَأ', 'قُرْآن', 'لِ', 'كَي', 'أَنَّ', 'ه', 'ساعَد', 'عَلَى', 'بِ', 'نا', 'ثَقافَة', 'وَ', 'مُحِبّ', 'أَكْثَر', 'عَطَف', 'وَ', 'قَلَّل', 'مِن', 'مُشْكِلَة', 'وَ', 'نَشْر', 'مَحَبَّة', 'وَ', 'مَوَدَّة', 'فِي', 'مُجْتَمَع', 'لِ', 'ذٰلِكَ', 'تَسامُح', 'مُهِمّ', 'فِي', 'حَياة', 'بَشَر', 'أَنَّ', 'ه', 'نَمَّى', 'وَ', 'ثَقَّف', 'إِنْسان', 'وَ', 'جَعَل', 'ه', 'أَكْثَر', 'قُوَّة', 'ومحبوبن', 'وَ', 'نُشارَة', 'ساعَد', 'عَلَى', 'n', 'كثرهالوعي', 'والمسامح', 'هُوَ', 'شَخْص', 'كَرِيم', 'وَ', 'أَنَّ', 'تَعَلَّم', 'كَرْم', 'هاذه', 'كان', 'شَيّ', 'جَمِيل', 'فِي', 'حَياة', 'لِ', 'كَي', 'قَدَّر', 'أَنَّ', 'عاش', 'فِي', 'حَياة', 'مُمَيَّز', 'وَ', 'وَجَب', 'أَنَّ', 'تَسامُح', 'وَ', 'عَلِم', 'طِفْل', 'كَ', 'مُسامَحَة', 'والمحبهخ']
AR-030-85891	['التواصل', 'الاجتماعي', 'من', 'أخطر', 'الأشياء', 'ل', 'أن', 'ها', 'تبعدنا', 'عن', 'والدي', 'نا', 'و', 'لا', 'تعطينا', 'الوقت', 'الكافي', 'ل', 'الجلوس', 'مع', 'هم', 'و', 'ذال', 'ك', 'يوثر', 'في', 'عقول', 'نا', 'و', 'تصرف', 'ب', 'شكل', 'سلبي', 'و', 'ليس', 'جيدا', 'ابدا', '.']	['noun', 'adj', 'prep', 'noun', 'noun', 'prep', 'conj_sub', 'pron_dem', 'verb', 'prep', 'noun', 'noun_prop', 'conj', 'part_neg', 'verb', 'noun', 'adj', 'prep', 'noun', 'prep', 'pron', 'conj', 'noun', 'abbrev', 'verb', 'prep', 'noun', 'noun_prop', 'conj', 'noun', 'abbrev', 'noun', 'adj', 'conj', 'verb', 'adj', 'noun', 'punc']	['تَواصُل', 'ٱِجْتِماعِيّ', 'مِن', 'أَخْطَر', 'شَيْء', 'لِ', 'أَنَّ', 'ها', 'أَبْعَد', 'عَن', 'والِد', 'نا', 'وَ', 'لا', 'أَعْطَى', 'وَقْت', 'كافِي', 'لِ', 'جُلُوس', 'مَع', 'هُم', 'وَ', 'ذال', 'كَ', 'وَثُر', 'فِي', 'عَقْل', 'نا', 'وَ', 'تَصَرُّف', 'بِ', 'شَكْل', 'سَلْبِيّ', 'وَ', 'لَيِس', 'جَيِّد', 'أَبَد', '.']
AR-030-85891	['ل', 'ذال', 'ك', 'يجب', 'على', 'نا', 'أن', 'لا', 'نستخدم', 'ها', 'كثيرا', 'و', 'ننتبه', 'لها', '.']	['prep', 'noun', 'abbrev', 'verb', 'prep', 'noun_prop', 'conj_sub', 'part_neg', 'verb', 'pron_dem', 'adv', 'conj', 'verb', 'prep', 'punc']	['لِ', 'ذال', 'كَ', 'وَجَب', 'عَلَى', 'نا', 'أَنَّ', 'لا', 'ٱِسْتَخْدَم', 'ها', 'كَثِير', 'وَ', 'ٱِنْتَبَه', 'لِ', '.']
